id,posted_date,submitter,organization,last_name,first_name,title,text_file,attachment_files
COLC-2015-0012-0013,2016-03-04T05:00:00Z,Rocha-Matias,,Rocha,Matias,Initial Comments -  Matias Rocha,COLC-2015-0012-0013_Rocha-Matias_comment.txt,
COLC-2015-0012-0014,2016-03-04T05:00:00Z,Oster-David,,Oster,David,Initial Comments -  David Oster,COLC-2015-0012-0014_Oster-David_comment.txt,
COLC-2015-0012-0076,2016-04-03T04:00:00Z,Copyright Alliance,Copyright Alliance,Kupferschmid,Keith,Initial Reply Comments - Copyright Alliance,COLC-2015-0012-0076_Copyright-Alliance_comment.txt,COLC-2015-0012-0076_Copyright-Alliance_0900006481f0ed44.pdf
COLC-2015-0012-0144,2016-11-17T05:00:00Z,Public Knowledge,Public Knowledge,Panjwani,Raza,Additional Reply Comments - Public Knowledge,COLC-2015-0012-0144_Public-Knowledge_comment.txt,COLC-2015-0012-0144_Public-Knowledge_090000648239bc5d.pdf
COLC-2015-0012-0143,2016-11-17T05:00:00Z,Electronic Frontier Foundation,Electronic Frontier Foundation,Stoltz,Mitch,Additional Reply Comments - Electronic Frontier Foundation,COLC-2015-0012-0143_Electronic-Frontier-Foundation_comment.txt,COLC-2015-0012-0143_Electronic-Frontier-Foundation_090000648239b602.pdf
COLC-2015-0012-0091,2016-10-28T04:00:00Z,Josephs-John,,Josephs,John,"Additional Comments - Josephs, John",COLC-2015-0012-0091_Josephs-John_comment.txt,
COLC-2015-0012-0097,2016-10-28T04:00:00Z,Self,Self,Matthews,Edward,"Additional Comments - Matthews, Edward",COLC-2015-0012-0097_Self_comment.txt,
COLC-2015-0012-0080,2016-04-03T04:00:00Z,American Automobile Association,American Automobile Association,Ingrassia,Jill,Initial Reply Comments - American Automobile Association (AAA),COLC-2015-0012-0080_American-Automobile-Association_comment.txt,COLC-2015-0012-0080_American-Automobile-Association_0900006481f17e0f.pdf
COLC-2015-0012-0081,2016-04-03T04:00:00Z,International Documentary Association and seven other filmmaker organizations,International Documentary Association and seven other filmmaker organizations,Lerner,Jack,Initial Reply Comments - Intl Doc Association et al (IDA),COLC-2015-0012-0081_International-Documentary-Association-and-seven-other-filmma_comment.txt,COLC-2015-0012-0081_International-Documentary-Association-and-seven-other-filmma_0900006481f192c4.pdf
COLC-2015-0012-0022,2016-03-04T05:00:00Z,Learning Disabilities Association of America,Learning Disabilities Association of America,Noble,Steve,Initial Comments - Learning Disabilities Association of America,COLC-2015-0012-0022_Learning-Disabilities-Association-of-America_comment.txt,COLC-2015-0012-0022_Learning-Disabilities-Association-of-America_0900006481e85b63.docx|COLC-2015-0012-0022_Learning-Disabilities-Association-of-America_0900006481e85b63.pdf
COLC-2015-0012-0031,2016-03-04T05:00:00Z,Alliance of Automobile Manufacturers,Alliance of Automobile Manufacturers,Metalitz,Steven,Initial Comments - Alliance of Automobile Manufacturers,COLC-2015-0012-0031_Alliance-of-Automobile-Manufacturers_comment.txt,COLC-2015-0012-0031_Alliance-of-Automobile-Manufacturers_0900006481e9b3e3.pdf
COLC-2015-0012-0038,2016-03-04T05:00:00Z,Entertainment Software Association,Entertainment Software Association,Englund,Steven,Initial Comments - Entertainment Software Association,COLC-2015-0012-0038_Entertainment-Software-Association_comment.txt,COLC-2015-0012-0038_Entertainment-Software-Association_0900006481e9e431.pdf
COLC-2015-0012-0005,2016-03-04T05:00:00Z,R Street Institute,R Street Institute,Gellis,Catherine,Initial Comments -  R Street Institute,COLC-2015-0012-0005_R-Street-Institute_comment.txt,COLC-2015-0012-0005_R-Street-Institute_0900006481e6f314.pdf
